company_name,funding_citations
peplin inc (inactive),https://www.biospace.com/peplin-inc-files-to-withdraw-ipo-plans
dianthus therapeutics inc,https://finance.yahoo.com/news/dianthus-therapeutics-inc-announces-pricing-023500033.html
brii biosciences ltd,https://www.prnewswire.com/apac/news-releases/brii-biosciences-provides-corporate-updates-and-reports-2025-interim-financial-results-302535357.html
cara therapeutics inc,https://www.globenewswire.com/news-release/2025/04/15/3062122/0/en/Tvardi-Therapeutics-Announces-Closing-of-Merger-with-Cara-Therapeutics.html
teitur trophics aps,https://www.teiturtrophics.com/
trefoil therapeutics llc,https://www.exsightventures.com/blog/trefoil-moves-closer-to-a-clinical-trial-announcing-our-follow-on-investment
palladio biosciences inc,https://tracxn.com/d/companies/palladio-biosciences/__XNG16F1ZPQHW2TdpdNmx1rGK_D9XNUXKZu5E-jIFHXk
zephyrm biotechnologies co ltd,https://tracxn.com/d/companies/beijing-zephyrm-biotechnologies/__-7HCbW7PMX2O7x1yClmZ6J-ma4xvIPJNXitw74BUDYo
aboleris pharma,https://www.crunchbase.com/organization/aboleris-pharma
beijing zhidao biotechnology co ltd,https://tracxn.com/d/companies/beijing-zhidao-biotechnology/__7Cp9olmAziqRYUWeA8PMUoI384stUq5zdRjHZiHBA10
vyriad inc,https://www.crunchbase.com/organization/vyriad
hebei senlang biotechnology co ltd,https://tracxn.com/d/companies/hebei-senlang-biotechnology/__b_mXzB7MdWXyAGj950HMBCPcuvgZmuFmo7n2jk60AWE
sichuan zhishan weixin biotechnology co ltd,https://tracxn.com/d/companies/sichuan-zhishanweixin-biotechnology/__qUjax0yjNT3NbYEAC2v90C86iqGcy3_FHAyI9gcIZIQ
genfit sa,https://www.linkedin.com/company/genfit
light chain bioscience,https://www.linkedin.com/company/novimmune/
novimmune sa,https://www.linkedin.com/company/novimmune/
prokidney corp,https://finance.yahoo.com/news/prokidney-corp-prok-touts-reparencel-064330009.html
suzhou ribo life sciences co ltd,https://www.biospace.com/article/siRNA-on-the-precipice-as-candidates-reach-beyond-the-liver/
laurent pharmaceuticals inc,https://ca.linkedin.com/company/laurent-pharmaceuticals
maggie''s pearl llc,https://www.maggiespearl.com/
immunicom inc,https://www.linkedin.com/company/immunicom
inhalon biopharma inc,https://www.linkedin.com/company/inhalon-biopharma
trevena inc,https://www.linkedin.com/company/trevena-inc
"anesiva, inc.",https://www.linkedin.com/company/anesiva
nextcure inc,https://www.linkedin.com/company/nextcure-inc
vbi vaccines inc,https://www.linkedin.com/company/vbi-vaccines-inc
zyversa therapeutics inc,https://www.stocktitan.net/news/ZVSA/
proda biotech llc,https://news.gsu.edu/2018/12/04/georgia-state-spinoff-gets-2-million-to-advance-new-cancer-drug/
attgeno ab,https://hadeanventures.com/2022/07/attgeno-ab-announces-fully-subscribed-share-issue-to-complete-clinical-phase-ii-study-in-acute-pulmonary-hypertension/
